start_station,end_station,occurrences
Bjerregaards gate,Trelastgata,8
Soervest for Slottsparken,Stensgata,8
Schives gate,Skippergata,8
Hausmanns gate,Filipstadveien,8
Stensparken,Trondheimsveien,8
Majorstuveien,Marienlyst,8
Ullevaal sykehus,Langkaia,8
Frognerstranda,Drammensveien,8
Marienlystparken,Colbjoernsens gate,8
Meltzers gate,Groenlands torg,8
Frogner plass,Hans Nielsen Hauges plass,8
Oscars gate,Sommerfrydhagen,8
Stavangergata,Borgenveien,8
Saga Kino,Valkyrieplassen,8
Loerenporten,Bislettgata,8
Huk 2,Sofienbergparken nordvest,8
Borgenveien,Norsk Folkemuseum,8
Marienlystparken,Carl Berners plass soer,8
Sinsen T-bane,Hedmarksgata,8
Suhms gate,Hallénparken,8
Pilestredet 63,Badebakken,8
Lakkegata,Skippergata,8
Uelands gate,Sofienbergparken nord,8
Bjoelsendumpa,Enerhaugen,8
Pilestredet Studenthus,Munkedamsveien,8
Brynseng T-bane,Økern Portal,8
Vulkan,Vestkanttorvet,8
Finnmarksgata,Stockfleths gate,8
Arkaden Nord,Hammersborg Torg,8
Torshovparken vest,Soervest for Slottsparken,8
Over Raadhusgata,Trondheimsveien,8
Loerenveien,Fred Olsens gate,8
Uranienborgparken,Mandalls gate,8
Huk 1,Stensparken,8
Sukkerbiten,Daelenenggata,8
Groenlands torg,Kampen park Øst,8
Henrik Wergelands allé,Grünerhagen Nord,8
Akersgata,Krohgstoetten hospital,8
Kampen park Øst,Botanisk Hage vest,8
Hasle,Lakkegata,8
Spikersuppa Vest,Thune,8
Fysikkbygningen,Nordre gate,8
Botanisk Hage soer,Jenny Braatens Plass,8
Blindern Studenthus,Vaterlandsparken,8
Munkedamsveien,Hans Nielsen Hauges plass,8
Huk 2,Vaterlandsparken,8
Ensjoeveien,Spikersuppa Øst,8
Huk 1,Sofienbergparken nordvest,8
Fysikkbygningen,Professor Aschehougs plass,8
Hausmanns bru,Koebenhavngata busstopp,8
Skarpsnoparken,Huk 1,8
Toeyenbekken,Meltzers gate,8
Sofienbergparken nordvest,Boekkerveien,8
Klingenberggata,Frognerveien,8
St. Hanshaugen park vest,Oslo Hospital,8
Galgeberg,Skippergata,8
Bjoervika,Skarpsnoparken,8
Huk 1,Sjoesiden ved fontenen,8
Arkitekt Rivertz Plass,Dyvekes bru,8
Arkaden Soer,Studenterlunden,8
Nybrua holdeplass,Norsk Folkemuseum,8
Huk 1,AHO,8
Forskningsveien,Torshovdalen oest,8
Stockfleths gate,Sjoesiden ved trappen,8
Frogner Stadion,Myraloekka Øst,8
Majorstua skole,Over Raadhusgata,8
Studenterlunden,Huk 2,8
Stockfleths gate,Forskningsveien,8
Valkyrieplassen,Myraloekka Øst,8
Frogner Stadion,Krohgstoetten hospital,8
Sukkerbiten,Brynseng T-bane,8
Sjoesiden ved fontenen,Langkaia,8
Moelleparken,Griffenfeldts gate,8
Nordre gate,Frognerstranda,8
Mandalls gate,Skoeyen,8
Vestkanttorvet,Jernbanetorget,8
Slottsparken Øst,BI Nydalen,8
Gimle Kino,Munkegata,8
Vestkanttorvet,Lodalen busstopp,8
Bjoelsen moelle,Hausmanns bru,8
Torshovdalen oest,Mailundveien,8
Huk 2,Suhms gate,8
Myraloekka Øst,Diakonhjemmet,8
Colosseum Kino,Bankplassen,8
Tjuvholmen,Volvat,8
Jernbanetorget,Huk 1,8
Thune,Frognerstranda,8
Huk 1,Suhms gate,8
Bislett Stadion,Stockfleths gate,8
Loerenveien,Bjoervika,8
Bjoelsen moelle,Tjuvholmen,8
Lodalen busstopp,Gunerius,8
Uranienborgveien,Bentsebrugata,8
Myraloekka Øst,Oslo Plaza,8
Frogner Stadion,Daelenenggata,8
Nybrua holdeplass,Frogner Stadion,8
Huk 1,Henrik Wergelands allé,8
Skoeyen Stasjon,Valkyrieplassen,8
Torshovparken vest,Thune,8
Sinsen T-bane,Ullevaalsveien,8
Borgenveien,Jakob kirke,8
Thereses gate,Skippergata,8
Thune,Schous plass,8
Akersgata,Huk 2,8
Bjerregaards gate,Bjoelsen moelle,8
Forskningsveien,Thereses gate,8
Aker Brygge,Marienlystparken,8
Frogner plass,Borgenveien,8
Schous plass trikkestopp,Hoffsveien,8
Valkyrieplassen,Lilleborgbanen,8
HasleLinje,Bankplassen,8
Paléhaven,Majorstuen,8
Hasle,Raadhusgata,8
Marcus Thranes gate,Brynseng T-bane,8
Huk 1,Olaf Ryes plass,8
Universitetsgata,Ensjoe T-bane,8
Linaaes gate,Karenslyst allé,8
Schives gate,Vaterlandsparken,8
Skoeyen Stasjon,Huk 1,8
Stockfleths gate,Storo Storsenter,8
Huk 1,Ringnes Park,8
St. Olavs gate,John Colletts plass,8
Sukkerbiten,Tiedemannsparken,8
Dyvekes bru,7. juni-plassen,8
Colbjoernsens gate,OsloMet,8
Botanisk hage soer-vest,Bjerregaards gate,8
Friggfeltet,Majorstuen T-bane,8
Fred Olsens gate,Mandalls gate,8
Arkaden Nord,Landstads gate,8
Blindern Studenthus,Fred Olsens gate,8
Filipstadveien,Bjerregaardsgate Øst,8
Arkitekt Rivertz Plass,Norsk Folkemuseum,8
Rostockgata,Huk 1,8
Torggata,Henrik Wergelands allé,8
Huk 2,Skarpsnoparken,8
Arendalsgata,Toeyenbekken,8
Ila,Diakonhjemmet,8
Jarlsborgveien,Frognerstranda,8
St. Hanshaugen park nord,Soendre gate,8
Oslo Handelsgymnasium,Galgeberg,8
Pilestredet 63,Sommerfrydhagen,8
Colbjoernsens gate,Badebakken,8
Grenseveien,Kvaernerbyen,8
Trelastgata,Fagerheimgata,8
Bjoelsendumpa,Hasle Torg,8
Grünerhagen Nord,Kvaernerbyen,8
Blindern studentparkering,Ullevaalsalléen,8
Oslo Handelsgymnasium,Nydalen,8
Vaalerenga,Toeyenparken,8
Skraaninga,Frogner Stadion,8
Arkitekt Rivertz Plass,Enerhaugen,8
Bjoelsen moelle,Skovveien,8
Thereses gate,Spikersuppa Øst,8
Idioten,Frogner Stadion,8
Edvard Storms gate,Monolittveien,8
Jakob kirke,Økernveien,8
Colosseum Kino,Paléhaven,8
Briskeby,Klingenberggata,8
HasleLinje,Skoeyen,8
Sognsveien,Linaaes gate,8
Stockfleths gate,Thomas Heftyes plass,8
Vulkan,Frognerbadet,8
Uelands gate,Stockfleths gate,8
Botanisk Hage soer,Norsk Folkemuseum,8
Diakonhjemmet,Frogner Stadion,8
Birkelunden,Henrik Ibsens gate,8
Nordre gate,Finnmarksgata,8
Skraaninga,Chr. Michelsens Gate,8
Alexander Kiellands Plass,Huk 1,8
Sirkustomta,Marienlystparken,8
St. Hanshaugen park nord,Munkedamsveien,8
Torshovdalen oest,Sognsveien,8
Skoeyen Stasjon,Majorstua skole,8
Henrik Wergelands allé,Lindern,8
Bjoelsendumpa,Ruseloekkgaarden,8
Stockfleths gate,Skraaninga,8
Sognsveien,Lakkegata,8
Loerenporten,Ullevaal sykehus,8
Sukkerbiten,Stensgata,8
Krebs' gate,Skraaninga,8
Botanisk hage soer-vest,Norsk Folkemuseum,8
Hammersborg Torg,Sirkustomta,8
Torggata,Ullevaalsveien,8
Diakonhjemmet,Koebenhavngata busstopp,8
Henrik Wergelands allé,Sognsveien,8
Koebenhavngata busstopp,Bjoelsen moelle,8
Frogner plass,Landstads gate,8
Skraaninga,Brugata,8
Forskningsveien,Vaar Frelsers gravlund,8
Skovveien,Skraaninga,8
Ringnes Park,Frognerbadet,8
Ensjoe T-bane,Dokkveien,8
Taasen Senter,Fagerheimgata,8
Moelleparken,Sagene bussholdeplass,8
Ila,Lindern,8
Edvard Storms gate,Colosseum Kino,8
Fred Olsens gate,Sofienbergparken soer,8
Bak Niels Treschows hus soer,Studenterlunden,8
Daelenenggata,Salt,8
St. Hanshaugen park soer,Skraaninga,8
Holbergs plass,Huk 1,8
Loerenveien,Bjerregaardsgate Øst,8
Huk 2,Lille Grensen,8
Norsk Folkemuseum,Jakob kirke,8
Bislett Stadion,Nydalen,8
Mandalls gate,Myraloekka Øst,8
Salt,Uranienborgparken,8
Gunerius,Frogner Stadion,8
Nordre gate,Stensgata,8
Blindern studentparkering,Oslo Hospital,8
Marienlyst,Soendre gate,8
Universitetsgata,Skraaninga,8
Soendre gate,Adamstuen,8
Stockfleths gate,Krebs' gate,8
Munkedamsveien,Landstads gate,8
Paléhaven,Sirkustomta,8
Valkyrieplassen,Soervest for Slottsparken,8
Norsk Folkemuseum,Annette Thommessens Plass,8
Landstads gate,Carl Berners plass soer,8
Storo Storsenter,Raadhusgata,8
Bak Niels Treschows hus nord,Uranienborgparken,8
Gaustad T-bane,Forskningsveien,8
Krebs' gate,St. Hanshaugen park soer,8
St. Hanshaugen park vest,Norsk Folkemuseum,8
BI Nydalen,Raadhusgata,8
Jarlsborgveien,Soervest for Slottsparken,8
Schives gate,Schous plass,8
Schives gate,OsloMet,8
Taasen Senter,Hesselbergs Gate,8
Myraloekka Øst,Schives gate,8
Chr. Michelsens Gate,Grenseveien,8
Hedmarksgata,Skraaninga,8
Tannlegehoeyskolen,Kjeld Stubs gate,8
Oslo Plaza,Koebenhavngata busstopp,8
St. Hanshaugen park soer,Briskeby,8
Slottsparken Øst,Hasle,8
Stortingstunellen,Akersgata,8
Økernveien,Økernveien,8
Botanisk Hage vest,Koebenhavngata busstopp,8
Norsk Folkemuseum,Fagerheimgata,8
Carl Berners plass soer,Torshovdalen oest,8
Karenslyst allé,Salt,8
Vestkanttorvet,Oslo Hospital,8
Schives gate,Huk 2,8
Storo Storsenter,Botanisk hage soer-vest,8
Bak Niels Treschows hus soer,Lilleborgbanen,8
Bak Niels Treschows hus nord,Torggata,8
Stockfleths gate,Kirkeveien,8
Brugata,Bogstadveien,8
Ullevaal sykehus,Botanisk hage soer-vest,8
Parkveien,Finnmarksgata,8
Domus Athletica,Bjerregaardsgate Øst,8
Loerenveien,Landstads gate,8
Annette Thommessens Plass,Hoffsveien,8
Salt,Suhms gate,8
Gunerius,Karenslyst allé,8
Oslo Plaza,Skraaninga,8
Over Raadhusgata,Stavangergata,8
Langkaia,Schives gate,8
Hallénparken,St. Hanshaugen park vest,8
Vippetangen oest,Sofienbergparken nord,8
Sirkustomta,Ullevaal sykehus,8
Ullevaalsalléen,Jernbanetorget,8
Bak Niels Treschows hus nord,Hesselbergs Gate,8
Pilestredet 63,Huk 2,8
Grünerhagen Nord,Brynseng T-bane,8
Skraaninga,Loerenveien,8
Frogner plass,Torshovdalen oest,8
Fram-gaarden,Marienlystparken,8
Sagene bussholdeplass,Langkaia,8
Botanisk hage soer-vest,Frogner plass,8
Colbjoernsens gate,Oslo Hospital,8
Stockfleths gate,Arkaden Nord,8
St. Hanshaugen park nord,BI Nydalen,8
Majorstua skole,Skraaninga,8
Arkitekt Rivertz Plass,Dronningens gate,8
Sirkustomta,Skraaninga,8
Sinsen T-bane,Taasen Senter,8
Studenterlunden,Chr. Michelsens Gate,8
Toeyenparken,Oslo Plaza,8
Sotahjoernet,Ullevaal sykehus,8
Oslo Handelsgymnasium,Toeyenbekken,8
Ensjoe T-bane,Raadhusgata,8
Trelastgata,Hesselbergs Gate,8
Landstads gate,Norsk Folkemuseum,8
Skraaninga,Schives gate,8
Edvard Storms gate,Carl Berners plass nord,8
Schous plass,Brynseng T-bane,8
John Colletts plass,Uranienborgparken,8
Via Vika,Marienlystparken,8
Lille Grensen,Frognerbadet,8
Skraaninga,Koebenhavngata busstopp,8
Forskningsveien,Holbergs plass,8
Sognsveien,Arkaden Soer,8
Loerenporten,Jordalgata,8
Studentparlamentet,Frognerstranda,8
Elisenberg,Lindern,8
Jakob kirke,Fysikkbygningen,8
Jarlsborgveien,Oslo Handelsgymnasium,8
Lindern,Hasle Torg,8
Colbjoernsens gate,Bygdoey allé,8
Kvaernerbyen,Bjoelsen Studentby,8
Stavangergata,Diakonhjemmet,8
Griffenfeldts gate,Loerenveien,8
Borgenveien,Sjoesiden ved fontenen,8
Bak Niels Treschows hus soer,Jakob kirke,8
Pilestredet Studenthus,Lille Schous plass,7
Kvaernerveien,Gunerius,7
Ila,Adamstuen,7
Blindern T-Bane,Pilestredet 63,7
St. Hanshaugen park soer,Skillebekk,7
Lakkegata,Klingenberggata,7
Lakkegata,Fram-gaarden,7
Arendalsgata,Valkyrieplassen,7
Ullevaal sykehus,Oslo Plaza,7
AHO,Uranienborgveien,7
Alexander Kiellands Plass,Colletts gate,7
Finnmarksgata,Spikersuppa Øst,7
Edvard Storms gate,St. Hanshaugen park soer,7
Hedmarksgata,Stjerneplassen,7
Linaaes gate,Majorstuveien,7
Torshovparken vest,Gunerius,7
Dronningens gate,Sofienbergparken nord,7
Kjeld Stubs gate,Sofienbergparken soer,7
Klingenberggata,Arkitekt Rivertz Plass,7
Frognerveien,Rostockgata,7
OsloMet,Badebakken,7
Friggfeltet,Schous plass trikkestopp,7
Majorstuveien,Schous plass trikkestopp,7
Borgenveien,St. Hanshaugen park vest,7
Økern Portal,Bjoelsendumpa,7
Henrik Ibsens gate,Brugata,7
Sinsenveien,Bjerregaardsgate Øst,7
Myraloekka Øst,St. Hanshaugen park soer,7
Nybrua holdeplass,Sofienbergparken soer,7
OsloMet,Brugata,7
Aker Brygge,Adamstuen,7
Ruseloekkgaarden,Domus Athletica,7
Jernbanetorget,Uelands gate,7
Bjoervika,Forskningsveien,7
Blindern studentparkering,Sjoelyst,7
Holbergs plass,BI Nydalen,7
Linaaes gate,Oslo Plaza,7
Skoeyen,Hallings gate,7
Elgsletta,Hausmanns gate,7
Olav Kyrres plass,St. Hanshaugen park vest,7
Ullevaal sykehus,John Colletts plass,7
Hausmanns gate,Hesselbergs Gate,7
Alexander Kiellands Plass,Taasen Senter,7
Bjoelsendumpa,Studenterlunden,7
Landstads gate,Frognerstranda,7
Bjerregaardsgate Øst,Frogner plass,7
Koebenhavngata busstopp,Bak Niels Treschows hus soer,7
Koebenhavngata busstopp,BI Nydalen,7
Kvaernerbyen,Vippetangen oest,7
Koebenhavngata busstopp,Mandalls gate,7
Bjoervika,Colbjoernsens gate,7
Myraloekka Øst,Georg Morgenstiernes hus,7
Blindern T-Bane,Majorstua skole,7
Kjeld Stubs gate,Dronningens gate,7
Holbergs plass,Lille Schous plass,7
Vestkanttorvet,Schous plass,7
Sinsenveien,Sagene bussholdeplass,7
Toeyenbekken,Mandalls gate,7
Jakob kirke,Toeyenparken,7
OsloMet,Griffenfeldts gate,7
Georg Morgenstiernes hus,Pilestredet Studenthus,7
Oslo Plaza,Kjeld Stubs gate,7
Klingenberggata,Sofienberggata,7
Sagene bussholdeplass,Lakkegata,7
Trelastgata,Annette Thommessens Plass,7
Soervest for Slottsparken,Frognerstranda,7
Pilestredet Studenthus,Grünerhagen Nord,7
Hedmarksgata,Vulkan,7
Hesselbergs Gate,Henrik Wergelands allé,7
Pilestredet 63,Bentsebrugata,7
The Hub,Lodalen busstopp,7
Over Raadhusgata,Arkaden Nord,7
Kjeld Stubs gate,Ruseloekkgaarden,7
Frogner plass,Sognsveien,7
St. Hanshaugen park vest,Tannlegehoeyskolen,7
Oslo Plaza,Jernbanetorget,7
Lille Grensen,Colosseum Kino,7
Majorstuen T-bane,Domus Athletica,7
Akerselvallmenningen,Krebs' gate,7
Arkaden Soer,Karenslyst allé,7
Henrik Wergelands allé,Lilleborgbanen,7
St. Hanshaugen park soer,Tiedemannsparken,7
Oslo Handelsgymnasium,Sagene bussholdeplass,7
Brugata,Studenterlunden,7
Kjeld Stubs gate,Enerhaugen,7
Bjoelsen Studentby,Colletts gate,7
Vippetangen vest,Sirkustomta,7
Colletts gate,Elisenberg,7
Skippergata,Langkaia,7
Jens Bjelkes Gate,Krohgstoetten hospital,7
Friggfeltet,Hammersborg Torg,7
Huitfeldts gate,Stensgata,7
Trelastgata,Jakob kirke,7
Colletts gate,Mandalls gate,7
Sjoesiden ved fontenen,Sagene bussholdeplass,7
Schous plass,Arendalsgata,7
Briskeby,Colletts gate,7
Majorstuveien,Jakob kirke,7
OsloMet,Pilestredet Studenthus,7
Groenlands torg,Universitetsgata,7
Bjerregaards gate,Brugata,7
Friggfeltet,Akerselvallmenningen,7
Froeen T-bane,Uranienborgveien,7
Sofienbergparken soer,Loerenveien,7
Schous plass,Krohgstoetten hospital,7
Gunerius,Studenterlunden,7
Pilestredet Studenthus,Mandalls gate,7
Majorstuen T-bane,Vulkan,7
Henrik Wergelands allé,Borgenveien,7
Via Vika,Ullevaalsveien,7
Fredensborg,Skoeyen,7
Dyvekes bru,Carl Berners plass nord,7
Sjoesiden ved trappen,Annette Thommessens Plass,7
Arkaden Soer,Universitetsgata,7
Rostockgata,Parkveien,7
Majorstuveien,Georg Morgenstiernes hus,7
Friggfeltet,Paléhaven,7
Munkedamsveien,Annette Thommessens Plass,7
Sjoelyst,Jernbanetorget,7
Trelastgata,Hydroparken,7
OsloMet,Salt,7
Frogner Stadion,Chr. Michelsens Gate,7
Brugata,Dokkveien,7
Ruseloekkgaarden,Groenlands torg,7
Sentrum Scene,Ensjoeveien,7
Suhms gate,Jakob kirke,7
Dronningens gate,Fram-gaarden,7
Torshovparken vest,Vippetangen oest,7
St. Olavs gate,Lodalen busstopp,7
Henrik Ibsens gate,Annette Thommessens Plass,7
Stensgata,Bjoelsendumpa,7
Froeen T-bane,Saga Kino,7
Pilestredet 63,Landstads gate,7
Fram-gaarden,Briskeby,7
Birkelunden,Kvaernerveien,7
Klingenberggata,Gimle Kino,7
Saga Kino,Krohgstoetten hospital,7
Torggata,Skoeyen,7
Jenny Braatens Plass,Friggfeltet,7
Storo Storsenter,Hydroparken,7
Olaf Ryes plass,Marienlystparken,7
Bjoelsen Studentby,Dokkveien,7
Frognerstranda,Anker Hotel,7
Parkveien,Lille Schous plass,7
Studentparlamentet,Landstads gate,7
Bjoelsendumpa,Lindern,7
Stortingstunellen,Kontraskjaeret,7
Vaalerenga,Mandalls gate,7
Stortingstunellen,Bankplassen,7
Hedmarksgata,Ensjoeveien,7
Paléhaven,Soervest for Slottsparken,7
Marienlyst,Stensgata,7
Pilestredet 63,Lilleborgbanen,7
Majorstuen T-bane,Kirkeristen,7
Mandalls gate,Biskop Gunnerus' gate,7
Uelands gate,Thune,7
Sofienbergparken soer,Salt,7
Kjeld Stubs gate,Saga Kino,7
Schous plass,Uelands gate,7
Studentparlamentet,Mandalls gate,7
Arkaden Soer,Uranienborgveien,7
Jakob kirke,Uranienborgparken,7
Langkaia,Vaalerenga,7
Stjerneplassen,Klingenberggata,7
Filipstadveien,Grünerhagen Nord,7
Friggfeltet,Professor Aschehougs plass,7
Munkedamsveien,Sofienbergparken nord,7
Parkveien,Carl Berners plass soer,7
Kirkegata 15,Grünerhagen Nord,7
Domus Athletica,Lille Schous plass,7
Fagerheimgata,Kjeld Stubs gate,7
St. Olavs gate,Bentsebrugata,7
OsloMet,Hallénparken,7
Hoffsveien,Sofienbergparken nordvest,7
Hoffsveien,Sukkerbiten,7
Pilestredet Studenthus,Toeyenbekken,7
Bogstadveien,Enerhaugen,7
Krohgstoetten hospital,Fredensborg,7
Trelastgata,Over Raadhusgata,7
St. Hanshaugen park vest,Fram-gaarden,7
Ensjoeveien,Lakkegata,7
Toeyenparken,Linaaes gate,7
Lille Schous plass,Grünerhagen Nord,7
Frognerveien,Suhms gate,7
Monolittveien,Sjoesiden ved trappen,7
Schous plass trikkestopp,Blindern Studenthus,7
Colletts gate,Fred Olsens gate,7
Sjoesiden ved fontenen,Fram-gaarden,7
Lille Schous plass,Galgeberg,7
John Colletts plass,Schous plass,7
Sjoelyst,Fram-gaarden,7
Carl Berners plass soer,Blindern Studenthus,7
Sjoelyst,Monolittveien,7
Ruseloekkgaarden,Annette Thommessens Plass,7
Sofienbergparken nordvest,Lodalen busstopp,7
Annette Thommessens Plass,Henrik Ibsens gate,7
Kirkeveien,Adamstuen,7
Hausmanns gate,Marienlystparken,7
Valkyrieplassen,Groenlands torg,7
Krohgstoetten hospital,Raadhusgata,7
Kirkeveien,Toeyen skole,7
Professor Aschehougs plass,Hoffsveien,7
Skillebekk,Vippetangen oest,7
Jenny Braatens Plass,Marienlystparken,7
Brugata,Gimle Kino,7
Alexander Kiellands Plass,Gaustad T-bane,7
St. Hanshaugen park soer,Lille Schous plass,7
Huitfeldts gate,Skoeyen Stasjon,7
Klingenberggata,Studenterlunden,7
Vaterlandsparken,Pilestredet Studenthus,7
Hesselbergs Gate,Finnmarksgata,7
Sinsen T-bane,Dokkveien,7
Botanisk Hage soer,Frognerstranda,7
Parkveien,Sjoelyst,7
Riddervoldplass,Fred Olsens gate,7
Uranienborgveien,Toeyen skole,7
Stensgata,Riddervoldplass,7
Fredensborg,Biskop Gunnerus' gate,7
Pilestredet,Dokkveien,7
Lodalen busstopp,Torggata,7
Jakob kirke,Sinsen T-bane,7
Skillebekk,Krohgstoetten hospital,7
Klingenberggata,Grünerhagen Nord,7
Georg Morgenstiernes hus,Saga Kino,7
Hallénparken,Enerhaugen,7
Skoeyen,Soendre gate,7
Nordre gate,Skillebekk,7
Saga Kino,Myraloekka Øst,7
Groenlands torg,Adamstuen,7
Botanisk Hage soer,Klingenberggata,7
Soendre gate,Storo Storsenter,7
Hoffsveien,Professor Aschehougs plass,7
Lakkegata,Bentsebrugata,7
Hesselbergs Gate,Marienlystparken,7
Universitetsgata,Colbjoernsens gate,7
Oscars gate,Sinsen T-bane,7
Kirkeveien,Universitetsgata,7
Sjoesiden ved fontenen,Hans Nielsen Hauges plass,7
Linaaes gate,Over Raadhusgata,7
Klingenberggata,Mandalls gate,7
Gimle Kino,Sofienbergparken soer,7
Hallings gate,Hausmanns bru,7
Uelands gate,Elisenberg,7
Toeyen skole,Uelands gate,7
Oslo Plaza,Langkaia,7
Vippetangen vest,Hallings gate,7
Hausmanns gate,Krohgstoetten hospital,7
Ensjoeveien,Moelleparken,7
Froeen T-bane,Uelands gate,7
Anker Hotel,Trelastgata,7
Bentsebrugata,Ensjoe T-bane,7
Sagene bussholdeplass,Toeyenparken,7
Ila,Kjeld Stubs gate,7
Skillebekk,The Hub,7
Forskningsveien,Jens Bjelkes Gate,7
Frognerstranda,Nordre gate,7
Georg Morgenstiernes hus,Lille Schous plass,7
Marcus Thranes gate,Slottsparken Øst,7
Colosseum Kino,Rostockgata,7
Studentparlamentet,Pilestredet,7
Colosseum Kino,Borgenveien,7
Tiedemannsparken,Dyvekes bru,7
Botanisk hage soer-vest,Nybrua holdeplass,7
Arendalsgata,Oslo Handelsgymnasium,7
Daelenenggata,Trelastgata,7
Kontraskjaeret,Stensparken,7
Boekkerveien,Fyrstikktorget,7
Frognerstranda,Kjeld Stubs gate,7
Riddervoldplass,Bankplassen,7
Volvat,Torggata,7
Ila,Skovveien,7
Chr. Michelsens Gate,Georg Morgenstiernes hus,7
Sommerfrydhagen,Arendalsgata,7
Schous plass trikkestopp,Storo Storsenter,7
Briskeby,Munkegata,7
Torshovparken vest,Kontraskjaeret,7
Hydroparken,Salt,7
Fredensborg,Sinsen T-bane,7
Saga Kino,Maritimt Museum,7
Finnmarksgata,Raadhusgata,7
Thereses gate,Pilestredet 63,7
Domus Athletica,Tannlegehoeyskolen,7
Nordre gate,Lilleborgbanen,7
Carl Berners plass nord,Parkveien,7
Badebakken,Thereses gate,7
Krohgstoetten hospital,Galgeberg,7
Hausmanns bru,Bislettgata,7
Salt,Lille Schous plass,7
Loerenveien,Arkaden Nord,7
Krebs' gate,Sjoelyst,7
Sinsen T-bane,Grenseveien,7
Sirkustomta,Filipstadveien,7
Kjeld Stubs gate,Over Raadhusgata,7
Birkelunden,7. juni-plassen,7
Grünerhagen Nord,Pilestredet Studenthus,7
Hasle Torg,Kjeld Stubs gate,7
Tannlegehoeyskolen,Majorstuveien,7
Botanisk hage soer-vest,Friggfeltet,7
Koebenhavngata busstopp,Stjerneplassen,7
Stensparken,Pilestredet Studenthus,7
Langkaia,Sotahjoernet,7
Volvat,Sjoelyst,7
Pilestredet 63,Schous plass trikkestopp,7
OsloMet,Kjeld Stubs gate,7
Bjerregaardsgate Øst,Anker Hotel,7
Sentrum Scene,Daelenenggata,7
Sofienbergparken nordvest,Hans Nielsen Hauges plass,7
Frogner plass,BI Nydalen,7
Moelleparken,Skillebekk,7
Lilleborgbanen,Hedmarksgata,7
Skarpsnoparken,Parkveien,7
Thereses gate,Jens Bjelkes Gate,7
Koebenhavngata busstopp,Nybrua holdeplass,7
Riddervoldplass,Moelleparken,7
Adamstuen,Lindern,7
Colletts gate,Brugata,7
Henrik Wergelands allé,Krebs' gate,7
Koebenhavngata busstopp,Pilestredet,7
Ringnes Park,Schives gate,7
Vulkan,Vaalerenga,7
Sofienbergparken nordvest,Monolittveien,7
Skovveien,BI Nydalen,7
Dokkveien,St. Hanshaugen park vest,7
Dokkveien,Sofienberggata,7
Fyrstikktorget,Bislett Stadion,7
Colbjoernsens gate,Suhms gate,7
Fredensborg,Torshovparken vest,7
Salt,Bislettgata,7
Riddervoldplass,Skarpsnoparken,7
Majorstuen T-bane,Saga Kino,7
Schous plass trikkestopp,Lodalen busstopp,7
Nordre gate,Thomas Heftyes plass,7
Ullevaalsalléen,Marienlyst,7
Colletts gate,Toeyen skole,7
Arendalsgata,Koebenhavngata busstopp,7
Colletts gate,Kirkeveien,7
Fram-gaarden,Marcus Thranes gate,7
Sogn Studentby,Domus Athletica,7
Skovveien,Schous plass trikkestopp,7
Nordre gate,Majorstuveien,7
Soervest for Slottsparken,Skippergata,7
Ullevaalsalléen,Lindern,7
Storo Storsenter,Klingenberggata,7
Storo Storsenter,Uranienborgveien,7
Dokkveien,Bjerregaardsgate Øst,7
Bankplassen,Stensparken,7
Schives gate,Gunerius,7
Akerselvallmenningen,Riddervoldplass,7
Bjoelsendumpa,Colbjoernsens gate,7
Henrik Ibsens gate,Sjoelyst,7
Sofienbergparken nord,Bogstadveien,7
Finnmarksgata,Sagene bussholdeplass,7
Langkaia,Jordalgata,7
Colletts gate,Arkaden Soer,7
Edvard Storms gate,Riddervoldplass,7
Landstads gate,Sinsen T-bane,7
Soervest for Slottsparken,Hallings gate,7
Bak Niels Treschows hus nord,Lille Grensen,7
Universitetsgata,Suhms gate,7
Henrik Wergelands allé,Kontraskjaeret,7
Groenlands torg,Ullevaal sykehus,7
Oslo Hospital,Krohgstoetten hospital,7
Ullevaal sykehus,Soervest for Slottsparken,7
Colletts gate,Kirkegata 15,7
Sofienbergparken soer,BI Nydalen,7
Georg Morgenstiernes hus,Huitfeldts gate,7
Hoffsveien,Bjoervika,7
Suhms gate,Drammensveien,7
Ullevaal sykehus,Munkegata,7
Toeyenparken,Ensjoe T-bane,7
Soervest for Slottsparken,Olav Kyrres plass,7
Pilestredet,Klingenberggata,7
Torshovparken vest,Salt,7
Myraloekka Øst,Fyrstikktorget,7
Huitfeldts gate,Birkelunden,7
Oslo Plaza,Sinsen T-bane,7
Elgsletta,Galgeberg,7
Sagene bussholdeplass,Olav Kyrres plass,7
Thereses gate,Uranienborgveien,7
Marienlyst,Krebs' gate,7
Majorstua skole,Froeen T-bane,7
Ullevaal sykehus,Universitetsgata,7
Griffenfeldts gate,Bak Niels Treschows hus nord,7
BI Nydalen,Uranienborgparken,7
Oscars gate,Toeyen skole,7
Fagerheimgata,Sagene bussholdeplass,7
Griffenfeldts gate,Oscars gate,7
Sjoesiden ved trappen,Stensparken,7
Badebakken,Skoeyen Stasjon,7
Toeyenparken,Sentrum Scene,7
Parkveien,Stjerneplassen,7
Suhms gate,Kontraskjaeret,7
OsloMet,Storo Storsenter,7
Kvaernerbyen,Botanisk Hage vest,7
Frognerstranda,Stensgata,7
Bjoelsendumpa,Carl Berners plass soer,7
Frognerstranda,Fredensborg,7
Bjerregaards gate,Skoeyen Stasjon,7
Botanisk Hage soer,Bentsebrugata,7
