start_station,end_station,occurrences
Kirkeristen,Kirkeristen,272
Oslo Handelsgymnasium,Tjuvholmen,272
Alexander Kiellands Plass,Vulkan,272
Jakob kirke,Botanisk Hage soer,271
Frogner plass,Frogner Stadion,271
Henrik Ibsens gate,Parkveien,271
Bjoervika,Oslo Hospital,270
Bogstadveien,Stensparken,270
Edvard Storms gate,Edvard Storms gate,269
Akerselvallmenningen,Akerselvallmenningen,268
Helga Helgesens plass,Brugata,268
Aker Brygge,Olaf Ryes plass,268
AHO,The Hub,267
Karenslyst allé,Tjuvholmen,267
Galgeberg,Sjoesiden ved trappen,267
Norsk Folkemuseum,Huk 2,267
Linaaes gate,Soendre gate,266
Dokkveien,Frognerstranda,265
Gimle Kino,Tjuvholmen,265
Lakkegata,Toeyenbekken,265
Ringnes Park,Ringnes Park,265
Olaf Ryes plass,Bankplassen,265
Sukkerbiten,Jernbanetorget,264
Sommerfrydhagen,Helga Helgesens plass,263
Vulkan,Aker Brygge,263
Marcus Thranes gate,Marcus Thranes gate,262
Toeyen skole,Helga Helgesens plass,262
Holbergs plass,Aker Brygge,261
Jens Bjelkes Gate,Helga Helgesens plass,261
Alexander Kiellands Plass,The Hub,260
Majorstuen,Henrik Wergelands allé,260
Vaterlandsparken,Helga Helgesens plass,260
Bogstadveien,Majorstuen,259
Vaar Frelsers gravlund,Sjoesiden ved trappen,258
The Hub,Jens Bjelkes Gate,258
The Hub,Helga Helgesens plass,257
Hammersborg Torg,Alexander Kiellands Plass,257
Fagerheimgata,Kirkeristen,256
Hoffsveien,Karenslyst allé,256
Parkveien,Henrik Ibsens gate,256
Toeyen skole,Toeyen skole,256
Bislett Stadion,Alexander Kiellands Plass,255
Raadhusgata,Raadhusgata,255
Majorstua skole,Skoeyen,255
Marcus Thranes gate,Chr. Michelsens Gate,255
Aker Brygge,Slottsparken Øst,255
Sjoesiden ved trappen,Oslo Hospital,255
Sofienberggata,Kirkeristen,254
Enerhaugen,Toeyenbekken,253
Aker Brygge,Torggata,253
Sukkerbiten,Lille Grensen,252
Torggata,Sofienbergparken nord,252
Aker Brygge,St. Olavs gate,252
Annette Thommessens Plass,Aker Brygge,251
Groenlands torg,Oslo Hospital,251
Schous plass,Schous plass,251
Olaf Ryes plass,Fred Olsens gate,251
Helga Helgesens plass,Hausmanns gate,250
Storo Storsenter,Hans Nielsen Hauges plass,250
